"001","BARBAN01","BAR EMERGENCY","BA233","NAVY/CYAN","2","BAR LCAR1","NAVY","M 12/14","1"
"001","BARBAN01","BAR EMERGENCY","BA233","NAVY/CYAN","3","BAR LCAR1","NAVY","L 16/18","1"
"001","BARBAN01","BAR EMERGENCY","BA233","NAVY/CYAN","4","BAR LCAR1","NAVY","XL 20/22","1"
"001","BARBAN01","BAR EMERGENCY","BA233","NAVY/CYAN","6","BAR LCAR1","NAVY","3XL 28/30","1"
"001","BARBAN01","BAR EMERGENCY","BA234","NAVY/CYAN","0","BAR LCAR1","NAVY","XS 4/6","1"
"001","BARBAN01","BAR EMERGENCY","BA234","NAVY/CYAN","1","BAR LCAR1","NAVY","S 8/10","1"
"001","BARBAN01","BAR EMERGENCY","BA234","NAVY/CYAN","2","BAR LCAR1","NAVY","M 12/14","1"
"001","BARBAN01","BAR EMERGENCY","BA234","NAVY/CYAN","3","BAR LCAR1","NAVY","L 16/18","1"
"001","BARBAN01","BAR EMERGENCY","BA234","NAVY/CYAN","4","BAR LCAR1","NAVY","XL 20/22","1"
"001","BARBAN01","BAR EMERGENCY","BA234","NAVY/CYAN","5","BAR LCAR1","NAVY","2XL 24/26","1"
"001","BARBAN01","BAR EMERGENCY","BA238/L","NAVY","36","BAR MJKT2/L","NAVY","36","1"
"001","BARBAN01","BAR EMERGENCY","BA238/L","NAVY","38","BAR MJKT2/L","NAVY","38","1"
"001","BARBAN01","BAR EMERGENCY","BA238/L","NAVY","40","BAR MJKT2/L","NAVY","40","1"
"001","BARBAN01","BAR EMERGENCY","BA238/L","NAVY","42","BAR MJKT2/L","NAVY","42","1"
"001","BARBAN01","BAR EMERGENCY","BA238/L","NAVY","44","BAR MJKT2/L","NAVY","44","1"
"001","BARBAN01","BAR EMERGENCY","BA238/L","NAVY","48","BAR MJKT2/L","NAVY","48","1"
"001","BARBAN01","BAR EMERGENCY","BA238/L","NAVY","50","BAR MJKT2/L","NAVY","50","1"
"001","BARBAN01","BAR EMERGENCY","BA238/L","NAVY","52","BAR MJKT2/L","NAVY","52","1"
"001","BARBAN01","BAR EMERGENCY","BA238/R","NAVY","36","BAR MJKT2/R","NAVY","36","1"
"001","BARBAN01","BAR EMERGENCY","BA238/R","NAVY","38","BAR MJKT2/R","NAVY","38","1"
"001","BARBAN01","BAR EMERGENCY","BA238/R","NAVY","40","BAR MJKT2/R","NAVY","40","1"
"001","BARBAN01","BAR EMERGENCY","BA238/R","NAVY","42","BAR MJKT2/R","NAVY","42","1"
"001","BARBAN01","BAR EMERGENCY","BA238/R","NAVY","44","BAR MJKT2/R","NAVY","44","1"
"001","BARBAN01","BAR EMERGENCY","BA238/R","NAVY","46","BAR MJKT2/R","NAVY","46","1"
"001","BARBAN01","BAR EMERGENCY","BA238/R","NAVY","48","BAR MJKT2/R","NAVY","48","1"
"001","BARBAN01","BAR EMERGENCY","BA238/S","NAVY","36","BAR MJKT2/S","NAVY","36","1"
"001","BARBAN01","BAR EMERGENCY","BA238/S","NAVY","38","BAR MJKT2/S","NAVY","38","1"
"001","BARBAN01","BAR EMERGENCY","BA238/S","NAVY","40","BAR MJKT2/S","NAVY","40","1"
"001","BARBAN01","BAR EMERGENCY","BA238/S","NAVY","42","BAR MJKT2/S","NAVY","42","1"
